Digital Profile,Hồ sơ số,
Confirmation Date On LAS,Ngày xác nhận trên LAS,
Lead,Tiềm năng,
Lead Source,Nguồn tiềm năng,
Description,Mô tả,
Lead Type,Loại,
Request Type,Loại yêu cầu,
Contact Info,Thông tin liên lạc,
Qualification,Đánh giá,
Qualification Status,Trạng thái,
Qualified By,Đánh giá bởi,
Qualified On,Đánh giá vào,
Source Name,Tên nguồn,
Edit Full Form,Chỉnh sửa đầy đủ,
New Lead Source ,Tạo nguồn mới,
Consultant,Tư vấn viên,
Channel Partner,Kênh đối tác,
Unqualified,Chưa đánh giá,
In Process,Đang thực hiện,
Qualified,Đã đánh giá,
Product enquiry,Thắc mắc về sản phẩm,
Request for information,Yêu cầu thông tin,
Suggestions,Góp ý,
Opportunity,Cơ hội,
Quotation,Báo giá,
Interested,Quan tâm,
Converted,Đã chuyển đổi,
Do not contact,Không liên hệ,
Series,Chuỗi,
Deleted all documents successfully,Xoá dữ liệu thành công,
Bulk Operation Successful,Thao tác thành công,
Create Customer,Tạo khách hàng,
Products,Danh sách sản phẩm,
Premium Paid Until Date,Đóng phí đến ngày,
Maturity Date,Ngày đáo hạn,
Lapsed contract,Mất hiệu lực,
Matured contract,Đáo hạn,
Active contract,Đang hiệu lực,
Resolution request submitted,Đã có yêu cầu giải quyết QLBH,
Contract with surrender value,Trả giá trị hoàn lại,
Form,Biểu mẫu,
Show Preview,Xem trước,
Days Of The Contract,Ngày thứ mấy của hợp đồng,
Collect premium & refund contract,Thu phí & hoàn trả HĐ,
Request/feedback,Yêu cầu/ý kiến,
Payout,Chi trả,
Detail,Chi tiết,
Contract No./Profile,Số HĐ/HSYCBH,
Office Name,Tên văn phòng,
Created By,Tạo bởi,
Created At,Ngày tạo,
Contract History,Lịch sử giao dịch,
Rank,Hạng,
Contract Type,Loại giao dịch,
Lost,Mất,
New Contract History,Tạo mới lịch sử giao dịch,
Basic Info,Thông tin cơ bản,
No {0} found with matching filters. Clear filters to see all {0}.,Không tìm thấy dữ liệu phù hợp {0}. Xoá các bộ lọc để xem {0}.,
Add a Filter,Thêm bộ lọc,
Apply Filters,Áp dụng,
Lost reason,Lý do mất,
Stage Name,Giai đoạn,
Sales Stage,Giai đoạn bán hàng,
Probability (%),Xác suất (%),
Expected Closing Date,Ngày Đóng Dự Kiến,
Opportunity Owner,Người sở hữu,
Opportunity From,Cơ hội từ,
Opportunity Value,Giá trị cơ hội,
Opportunity Amount,Giá trị,
Exchange Rate,Tỷ lệ chuyển đổi,
Opportunity Amount (Company Currency),Giá trị (Tiền tệ theo công ty),
Detailed Reason,Lý do chi tiết,
Lost Reasons,Lý do mất,
Competitors,Đối thủ,
Opportunity Lost Reason,Lý do mất cơ hội,
Opportunity Type,Loại cơ hội,
New Opportunity Type,Tạo loại cơ hội mới,
New Opportunity,Tạo cơ hội mới,
New Opportunity Lost Reason,Tạo lý do mất cơ hội,
Lost Reason,Lý do mất,
From Lead,Từ tiềm năng,
From Opportunity,Từ cơ hội,
Create Opportunity,Tạo cơ hội,
Country,Quốc gia,
Title,Tên,
Contract ID,Mã hợp đồng,
